gene_id,symbol,name,species,ensembl,entrez,biotype,synonyms
Gm10445,Gm10445,,Mus musculus,,,protein_coding,
Gm10446,Gm10446,,Mus musculus,,,protein_coding,
Gm10447,Gm10447,,Mus musculus,,,protein_coding,
Gm10448,Gm10448,,Mus musculus,,,protein_coding,
Gm10449,Gm10449,,Mus musculus,,,protein_coding,
Gm10450,Gm10450,,Mus musculus,,,protein_coding,
Gm10451,Gm10451,,Mus musculus,,,protein_coding,
Gm10452,Gm10452,,Mus musculus,,,protein_coding,
Gm10453,Gm10453,,Mus musculus,,,protein_coding,
Gm10454,Gm10454,,Mus musculus,,,protein_coding,
Gm10455,Gm10455,,Mus musculus,,,protein_coding,
Gm10456,Gm10456,,Mus musculus,,,protein_coding,
Gm10457,Gm10457,,Mus musculus,,,protein_coding,
Gm10458,Gm10458,,Mus musculus,,,protein_coding,
Gm10459,Gm10459,,Mus musculus,,,protein_coding,
Gm10460,Gm10460,,Mus musculus,,,protein_coding,
Gm10461,Gm10461,,Mus musculus,,,protein_coding,
Gm10462,Gm10462,,Mus musculus,,,protein_coding,
Gm10463,Gm10463,,Mus musculus,,,protein_coding,
Gm10464,Gm10464,,Mus musculus,,,protein_coding,
Gm10465,Gm10465,,Mus musculus,,,protein_coding,
Gm10466,Gm10466,,Mus musculus,,,protein_coding,
Gm10467,Gm10467,,Mus musculus,,,protein_coding,
Gm10468,Gm10468,,Mus musculus,,,protein_coding,
Gm10469,Gm10469,,Mus musculus,,,protein_coding,
Gm10470,Gm10470,,Mus musculus,,,protein_coding,
Gm10471,Gm10471,,Mus musculus,,,protein_coding,
Gm10472,Gm10472,,Mus musculus,,,protein_coding,
Gm10473,Gm10473,,Mus musculus,,,protein_coding,
Gm10474,Gm10474,,Mus musculus,,,protein_coding,
Gm10475,Gm10475,,Mus musculus,,,protein_coding,
Gm10476,Gm10476,,Mus musculus,,,protein_coding,
Gm10477,Gm10477,,Mus musculus,,,protein_coding,
Gm10478,Gm10478,,Mus musculus,,,protein_coding,
Gm10479,Gm10479,,Mus musculus,,,protein_coding,
Gm10480,Gm10480,,Mus musculus,,,protein_coding,
Gm10481,Gm10481,,Mus musculus,,,protein_coding,
Gm10482,Gm10482,,Mus musculus,,,protein_coding,
Gm10483,Gm10483,,Mus musculus,,,protein_coding,
Gm10484,Gm10484,,Mus musculus,,,protein_coding,
Gm10485,Gm10485,,Mus musculus,,,protein_coding,
Gm10486,Gm10486,,Mus musculus,,,protein_coding,
Gm10487,Gm10487,,Mus musculus,,,protein_coding,
Gm10488,Gm10488,,Mus musculus,,,protein_coding,
Gm10489,Gm10489,,Mus musculus,,,protein_coding,
Gm10490,Gm10490,,Mus musculus,,,protein_coding,
Gm10491,Gm10491,,Mus musculus,,,protein_coding,
Gm10492,Gm10492,,Mus musculus,,,protein_coding,
Gm10493,Gm10493,,Mus musculus,,,protein_coding,
Gm10494,Gm10494,,Mus musculus,,,protein_coding,
Gm10495,Gm10495,,Mus musculus,,,protein_coding,
Gm10496,Gm10496,,Mus musculus,,,protein_coding,
Gm10497,Gm10497,,Mus musculus,,,protein_coding,
Gm10498,Gm10498,,Mus musculus,,,protein_coding,
Gm10499,Gm10499,,Mus musculus,,,protein_coding,
Gm10500,Gm10500,,Mus musculus,,,protein_coding,
Gm10501,Gm10501,,Mus musculus,,,protein_coding,
Gm10502,Gm10502,,Mus musculus,,,protein_coding,
Gm10503,Gm10503,,Mus musculus,,,protein_coding,
Gm10504,Gm10504,,Mus musculus,,,protein_coding,
Gm10505,Gm10505,,Mus musculus,,,protein_coding,
Gm10506,Gm10506,,Mus musculus,,,protein_coding,
Gm10507,Gm10507,,Mus musculus,,,protein_coding,
Gm10508,Gm10508,,Mus musculus,,,protein_coding,
Gm10509,Gm10509,,Mus musculus,,,protein_coding,
Gm10510,Gm10510,,Mus musculus,,,protein_coding,
Gm10511,Gm10511,,Mus musculus,,,protein_coding,
Gm10512,Gm10512,,Mus musculus,,,protein_coding,
Gm10513,Gm10513,,Mus musculus,,,protein_coding,
Gm10514,Gm10514,,Mus musculus,,,protein_coding,
Gm10515,Gm10515,,Mus musculus,,,protein_coding,
Gm10516,Gm10516,,Mus musculus,,,protein_coding,
Gm10517,Gm10517,,Mus musculus,,,protein_coding,
Gm10518,Gm10518,,Mus musculus,,,protein_coding,
Gm10519,Gm10519,,Mus musculus,,,protein_coding,
Gm10520,Gm10520,,Mus musculus,,,protein_coding,
Gm10521,Gm10521,,Mus musculus,,,protein_coding,
Gm10522,Gm10522,,Mus musculus,,,protein_coding,
Gm10523,Gm10523,,Mus musculus,,,protein_coding,
Gm10524,Gm10524,,Mus musculus,,,protein_coding,
Gm10525,Gm10525,,Mus musculus,,,protein_coding,
Gm10526,Gm10526,,Mus musculus,,,protein_coding,
Gm10527,Gm10527,,Mus musculus,,,protein_coding,
Gm10528,Gm10528,,Mus musculus,,,protein_coding,
Gm10529,Gm10529,,Mus musculus,,,protein_coding,
Gm10530,Gm10530,,Mus musculus,,,protein_coding,
Gm10531,Gm10531,,Mus musculus,,,protein_coding,
Gm10532,Gm10532,,Mus musculus,,,protein_coding,
Gm10533,Gm10533,,Mus musculus,,,protein_coding,
Gm10534,Gm10534,,Mus musculus,,,protein_coding,
Gm10535,Gm10535,,Mus musculus,,,protein_coding,
Gm10536,Gm10536,,Mus musculus,,,protein_coding,
Gm10537,Gm10537,,Mus musculus,,,protein_coding,
Gm10538,Gm10538,,Mus musculus,,,protein_coding,
Gm10539,Gm10539,,Mus musculus,,,protein_coding,
Gm10540,Gm10540,,Mus musculus,,,protein_coding,
Gm10541,Gm10541,,Mus musculus,,,protein_coding,
Gm10542,Gm10542,,Mus musculus,,,protein_coding,
Gm10543,Gm10543,,Mus musculus,,,protein_coding,
Gm10544,Gm10544,,Mus musculus,,,protein_coding,
Gm10545,Gm10545,,Mus musculus,,,protein_coding,
Gm10546,Gm10546,,Mus musculus,,,protein_coding,
Gm10547,Gm10547,,Mus musculus,,,protein_coding,
Gm10548,Gm10548,,Mus musculus,,,protein_coding,
Gm10549,Gm10549,,Mus musculus,,,protein_coding,
Gm10550,Gm10550,,Mus musculus,,,protein_coding,
Gm10551,Gm10551,,Mus musculus,,,protein_coding,
Gm10552,Gm10552,,Mus musculus,,,protein_coding,
Gm10553,Gm10553,,Mus musculus,,,protein_coding,
Gm10554,Gm10554,,Mus musculus,,,protein_coding,
Gm10555,Gm10555,,Mus musculus,,,protein_coding,
Gm10556,Gm10556,,Mus musculus,,,protein_coding,
Gm10557,Gm10557,,Mus musculus,,,protein_coding,
Gm10558,Gm10558,,Mus musculus,,,protein_coding,
Gm10559,Gm10559,,Mus musculus,,,protein_coding,
